State,Name, Unemployment Count (Percent) ,Year, Hurricane ,,
48,Harris County, 6.5 ,2016,Harvey ,,
48,Harris County, 6.5 ,2016,Harvey ,,
48,Harris County, 6.2 ,2017,Harvey ,,
48,Harris County, 5.6 ,2018,Harvey ,,
48,Harris County, 5.2 ,2019,Harvey ,,
34,Atlantic County, 14.9 ,2011,Sandy ,,
34,Atlantic County, 14.4 ,2012,Sandy ,,
34,Atlantic County, 12.4 ,2013,Sandy ,,
34,Atlantic County, 11.4 ,2014,Sandy ,,
34,Atlantic County, 10.8 ,2015,Sandy ,,
34,Atlantic County, 10.6 ,2016,Sandy ,,
34,Atlantic County, 8.5 ,2017,Sandy ,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
